Designator,Mid X,Mid Y,Rotation,Layer
A1,95.9,-89.35,270.0,top
A2,129.0,-89.35,270.0,top
C1,101.0,-123.3,270.0,top
C10,112.5,-122.85,90.0,top
C11,105.9,-118.87,90.0,top
C12,112.5,-124.67,90.0,top
C13,116.325,-65.725,0.0,top
C14,127.55,-65.725,0.0,top
C15,131.375,-65.725,0.0,top
C16,141.975,-65.725,0.0,top
C17,83.645,-65.75,0.0,top
C18,94.345,-65.75,0.0,top
C19,98.295,-65.75,0.0,top
C2,103.0,-123.3,270.0,top
C20,109.095,-65.85,0.0,top
C21,139.49,-129.53,90.0,top
C22,133.225,-132.87,270.0,top
C23,69.72,-116.45,0.0,top
C3,104.5,-123.35,90.0,top
C4,111.6,-132.725,270.0,top
C5,69.5,-132.575,0.0,top
C6,90.1,-128.55,90.0,top
C7,107.0,-132.725,270.0,top
C8,109.3,-132.725,270.0,top
C9,113.9,-132.725,270.0,top
D1,83.5975,-60.89,270.0,top
D2,94.3275,-60.9,270.0,top
D3,98.4875,-60.92,270.0,top
D4,109.1075,-61.01,270.0,top
D5,116.425,-60.885,270.0,top
D6,127.55,-60.86,270.0,top
D7,131.425,-60.86,270.0,top
D8,141.9275,-60.89,270.0,top
IC1,108.469,-123.169,0.0,top
J1,59.63425,-127.75,90.0,top
J2,116.64,-109.0,270.0,top
J4,59.63425,-111.25,90.0,top
L1,108.3,-127.85,0.0,top
L10,124.725,-125.85,0.0,top
L2,118.45,-70.725,90.0,top
L3,125.65,-70.725,90.0,top
L4,132.75,-70.725,90.0,top
L5,139.95,-70.725,90.0,top
L6,85.72,-70.7875,90.0,top
L7,92.82,-70.75,90.0,top
L8,99.92,-70.7875,90.0,top
L9,107.02,-70.85,90.0,top
Q1,77.6,-113.275,270.0,top
Q2,77.865,-127.225,270.0,top
R1,112.5,-120.97,270.0,top
R2,81.6,-119.375,90.0,top
R3,113.5,-118.5,180.0,top
R4,109.39,-119.25,0.0,top
R5,107.9,-118.76,90.0,top
R6,106.9,-118.84,270.0,top
RV1,121.6625,-65.325,0.0,top
RV10,94.3075,-64.05,0.0,top
RV11,98.5075,-64.05,0.0,top
RV12,109.1325,-64.15,0.0,top
RV2,136.3625,-65.525,0.0,top
RV3,116.4375,-64.025,0.0,top
RV4,127.5375,-64.025,0.0,top
RV5,131.45,-64.025,0.0,top
RV6,141.9375,-64.025,0.0,top
RV7,89.3325,-65.55,0.0,top
RV8,103.52,-65.55,0.0,top
RV9,83.62,-64.05,0.0,top
StepperConnector1,96.29,-48.48,90.0,top
StepperConnector2,129.485,-48.185,90.0,top
U2,77.0375,-119.4,180.0,top
